"race_m","income","income_q"
"White",6860,9.98
"White",6900,9.99
"White",6900,10
"White",7000,10.01
"White",7000,10.02
"White",7000,10.03
"White",7000,10.04
"White",7000,10.05
"White",7000,10.06
"White",7000,10.07
"White",7000,10.08
"White",7000,10.09
"White",7000,10.1
"White",7000,10.11
"White",7000,10.12
"White",7000,10.13
"White",7000,10.14
"White",7000,10.15
"White",7000,10.16
"White",7000,10.17
"White",7000,10.18
"White",7000,10.19
"White",7000,10.2
"White",7000,10.21
"White",7000,10.22
"White",7000,10.23
"White",7000,10.24
"White",7000,10.25
"White",7000,10.26
"White",7000,10.27
"White",7000,10.28
"White",7000,10.29
"White",7100,10.3
"White",7100,10.31
"White",7159.61600000002,10.32
"White",7200,10.33
"White",7200,10.34
"White",7200,10.35
"White",7200,10.36
"White",7200,10.37
"White",7200,10.38
"White",7200,10.39
"White",7200,10.4
"White",7300,10.41
"White",7300,10.42
"White",7303.46799999999,10.43
"White",7400,10.44
"White",7400,10.45
"White",7500,10.46
"White",7500,10.47
"White",7500,10.48
"White",7500,10.49
"White",7500,10.5
"White",7500,10.51
"White",7500,10.52
"White",7500,10.53
"White",7500,10.54
"White",7500,10.55
"White",7500,10.56
"White",7580,10.57
"White",7600,10.58
"White",7600,10.59
"White",7640,10.6
"White",7700,10.61
"White",7700,10.62
"White",7700,10.63
"White",7800,10.64
"White",7800,10.65
"White",7800,10.66
"White",7800,10.67
"White",7800,10.68
"White",7900,10.69
"White",7900,10.7
"White",8000,10.71
"White",8000,10.72
"White",8000,10.73
"White",8000,10.74
"White",8000,10.75
"White",8000,10.76
"White",8000,10.77
"White",8000,10.78
"White",8000,10.79
"White",8000,10.8
"White",8000,10.81
"White",8000,10.82
"White",8000,10.83
"White",8000,10.84
"White",8000,10.85
"White",8000,10.86
"White",8000,10.87
"White",8000,10.88
"White",8000,10.89
"White",8000,10.9
"White",8000,10.91
"White",8000,10.92
"White",8000,10.93
"White",8000,10.94
"White",8000,10.95
"White",8000,10.96
"White",8000,10.97
"White",8000,10.98
"White",8000,10.99
"White",8000,11
"White",8000,11.01
"White",8000,11.02
"White",8000,11.03
"White",8000,11.04
"White",8000,11.05
"White",8000,11.06
"White",8000,11.07
"White",8000,11.08
"White",8000,11.09
"White",8000,11.1
"White",8000,11.11
"White",8000,11.12
"White",8000,11.13
"White",8000,11.14
"White",8000,11.15
"White",8000,11.16
"White",8000,11.17
"White",8030,11.18
"White",8100,11.19
"White",8100,11.2
"White",8200,11.21
"White",8200,11.22
"White",8200,11.23
"White",8200,11.24
"White",8300,11.25
