"class_f","income","income_q"
"Reserve Army",2000,34.84
"Reserve Army",2000,34.85
"Reserve Army",2000,34.86
"Reserve Army",2000,34.87
"Reserve Army",2000,34.88
"Reserve Army",2000,34.89
"Reserve Army",2000,34.9
"Reserve Army",2000,34.91
"Reserve Army",2000,34.92
"Reserve Army",2000,34.93
"Reserve Army",2000,34.94
"Reserve Army",2000,34.95
"Reserve Army",2000,34.96
"Reserve Army",2000,34.97
"Reserve Army",2000,34.98
"Reserve Army",2000,34.99
"Reserve Army",2000,35
"Reserve Army",2000,35.01
"Reserve Army",2000,35.02
"Reserve Army",2000,35.03
"Reserve Army",2000,35.04
"Reserve Army",2000,35.05
"Reserve Army",2000,35.06
"Reserve Army",2000,35.07
"Reserve Army",2000,35.08
"Reserve Army",2000,35.09
"Reserve Army",2000,35.1
"Reserve Army",2000,35.11
"Reserve Army",2000,35.12
"Reserve Army",2000,35.13
"Reserve Army",2000,35.14
"Reserve Army",2000,35.15
"Reserve Army",2000,35.16
"Reserve Army",2000,35.17
"Reserve Army",2000,35.18
"Reserve Army",2000,35.19
"Reserve Army",2000,35.2
"Reserve Army",2000,35.21
"Reserve Army",2000,35.22
"Reserve Army",2000,35.23
"Reserve Army",2000,35.24
"Reserve Army",2000,35.25
"Reserve Army",2000,35.26
"Reserve Army",2000,35.27
"Reserve Army",2000,35.28
"Reserve Army",2000,35.29
"Reserve Army",2000,35.3
"Reserve Army",2000,35.31
"Reserve Army",2000,35.32
"Reserve Army",2000,35.33
"Reserve Army",2000,35.34
"Reserve Army",2000,35.35
"Reserve Army",2000,35.36
"Reserve Army",2000,35.37
"Reserve Army",2000,35.38
"Reserve Army",2000,35.39
"Reserve Army",2000,35.4
"Reserve Army",2000,35.41
"Reserve Army",2000,35.42
"Reserve Army",2000,35.43
"Reserve Army",2000,35.44
"Reserve Army",2000,35.45
"Reserve Army",2000,35.46
"Reserve Army",2000,35.47
"Reserve Army",2000,35.48
"Reserve Army",2000,35.49
"Reserve Army",2000,35.5
"Reserve Army",2000,35.51
"Reserve Army",2000,35.52
"Reserve Army",2000,35.53
"Reserve Army",2000,35.54
"Reserve Army",2000,35.55
"Reserve Army",2000,35.56
"Reserve Army",2000,35.57
"Reserve Army",2000,35.58
"Reserve Army",2000,35.59
"Reserve Army",2000,35.6
"Reserve Army",2000,35.61
"Reserve Army",2000,35.62
"Reserve Army",2000,35.63
"Reserve Army",2000,35.64
"Reserve Army",2000,35.65
